,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ÍNDICE DE NIVEL DE ACTIVIDAD REGISTRADA HASTA 
GRUPOS DE LA CLASIFICACIÓN CIIU-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contenido ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU3,DESCRIPCIÓN CIIU3,ENE.03,FEB.03,MAR.03,ABR.03,MAY.03,JUN.03,JUL.03,AGO.03,SEP.03,OCT.03,NOV.03,DIC.03,ENE.04,FEB.04,MAR.04,ABR.04,MAY.04,JUN.04,JUL.04,AGO.04,SEP.04,OCT.04,NOV.04,DIC.04,ENE.05,FEB.05,MAR.05,ABR.05,MAY.05,JUN.05,JUL.05,AGO.05,SEP.05,OCT.05,NOV.05,DIC.05,ENE.06,FEB.06,MAR.06,ABR.06,MAY.06,JUN.06,JUL.06,AGO.06,SEP.06,OCT.06,NOV.06,DIC.06,ENE.07,FEB.07,MAR.07,ABR.07,MAY.07,JUN.07,JUL.07,AGO.07,SEP.07,OCT.07,NOV.07,DIC.07,ENE.08,FEB.08,MAR.08,ABR.08,MAY.08,JUN.08,JUL.08,AGO.08,SEP.08,OCT.08,NOV.08,DIC.08,ENE.09,FEB.09,MAR.09,ABR.09,MAY.09,JUN.09,JUL.09,AGO.09,SEP.09,OCT.09,NOV.09,DIC.09,ENE.10,FEB.10,MAR.10,ABR.10,MAY.10,JUN.10,JUL.10,AGO.10,SEP.10,OCT.10,NOV.10,DIC.10,ENE.11,FEB.11,MAR.11,ABR.11,MAY.11,JUN.11,JUL.11,AGO.11,SEP.11,OCT.11,NOV.11,DIC.11,ENE.12,FEB.12,MAR.12,ABR.12,MAY.12,JUN.12,JUL.12,AGO.12,SEP.12,OCT.12,NOV.12,DIC.12,ENE.13,FEB.13,MAR.13,ABR.13,MAY.13,"JUN,13","JUL,13","AGO,13","SEP,13","OCT,13",NOV.13,DIC.13,ENE.14,FEB. 14,MAR.14,ABR. 14,MAY. 14,JUN. 14,JUL. 14,AGO. 14,SEP.14,OCT.14,NOV.14,DIC.14,ENE.15,FEB.15 ,MAR.15 ,ABR.15,MAY.15,JUN.15,JUL.15,AGO.15,SEP.15,OCT.15,NOV.15,DIC.15,ENE.16,FEB.16,MAR.16,ABR.16,MAY.16,JUN.16,JUL.16,AGO.16,SEP.16,OCT.16,NOV.16,DIC.16,ENE.17,FEB.17,MAR.17,ABR.17,MAY.17,JUN.17,JUL.17,AGO.17,SEP.17,OCT.17,NOV.17,DIC.17,ENE.18,FEB.18,MAR.18,ABR.18,MAY.18,JUN.18,JUL.18,AGO.18,SEP.18,OCT.18,NOV.18,DIC.18,ENE.19,FEB.19,MAR.19,ABR.19,MAY.19,JUN.19,JUL.19,AGO.19,SEP.19,OCT.19,NOV.19,DIC.19,ENE.20,FEB.20,MAR.20,ABR.20,MAY.20,JUN.20,JUL.20,AGO.20,SEP.20,OCT.20,NOV.20,DIC.20,ENE.21*,FEB.21*
0,0,ÍNDICE GENERAL,107.71,110.99,108.94,102.63,98.17,103.65,102.42,96.32,96.41,91.82,96.44,101.11,104.89,106.63,111.15,106.60,104.82,108.15,101.01,102.13,98.83,97.75,98.83,103.74,107.94,107.68,108.72,105.08,103.09,108.64,103.70,104.76,102.63,97.74,101.56,99.24,108.51,105.02,113.36,110.99,108.76,109.81,107.00,109.36,104.29,97.22,99.12,99.22,106.45,104.69,98.05,98.79,100.15,99.52,107.89,108.34,105.62,107.31,117.04,114.14,127.02,124.57,121.66,115.99,102.71,114.79,109.47,101.68,92.22,94.78,89.41,88.45,83.34,84.17,86.75,85.30,98.25,99.03,101.03,97.32,103.50,103.12,101.90,107.45,105.32,111.82,110.50,106.77,110.42,111.22,106.99,104.86,105.95,104.82,101.13,108.12,105.39,112.35,109.82,104.88,102.52,104.62,101.59,101.79,100.11,96.36,99.11,97.29,94.90,99.96,98.89,99.94,103.24,103.72,102.75,104.60,100.01,99.71,103.72,99.13,99.26,101.61,98.44,103.37,103.24,104.10,109.01,104.62,105.24,105.56,105.63,95.88,98.27,99.64,99.44,100.40,99.51,106.00,102.47,102.08,106.32,101.87,104.54,101.40,86.33,93.55,96.73,93.21,90.07,99.39,96.17,89.96,95.40,96.71,94.30,96.83,86.72,97.08,91.67,92.72,96.73,105.17,97.08,101.68,99.38,98.06,103.61,102.66,97.30,99.89,105.60,98.80,99.45,106.95,102.99,105.60,103.03,98.82,99.51,98.65,97.35,100.75,102.50,106.25,107.07,110.82,109.50,111.41,116.83,105.69,97.23,96.94,96.71,100.62,96.10,101.86,99.12,101.70,103.60,102.57,99.07,97.65,102.77,98.58,110.04,98.91,79.38,66.77,70.59,87.59,95.22,97.12,101.68,104.77,104.65,101.52,97.23,111.08
1,A,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA.",115.56,129.23,125.55,122.87,113.35,96.92,112.41,106.58,102.83,98.59,102.27,110.12,105.81,90.23,87.42,89.15,94.45,87.03,89.37,87.75,90.83,89.28,95.68,97.07,107.43,100.25,97.25,95.58,89.19,95.37,98.05,98.24,100.20,95.29,102.82,97.48,103.76,104.07,108.96,104.07,106.92,99.89,103.97,105.46,93.92,94.50,108.86,105.42,113.11,109.15,101.98,96.46,104.09,87.85,113.23,124.66,121.76,119.63,173.39,149.08,156.29,153.64,146.58,134.94,125.85,113.46,118.12,108.76,111.09,105.56,95.74,89.88,77.63,84.96,85.15,84.82,100.42,103.74,103.68,100.51,105.18,102.13,96.20,81.16,106.47,112.10,115.76,104.80,97.09,97.53,100.64,94.19,101.91,100.50,95.44,106.78,104.56,109.71,108.64,108.94,103.59,106.22,103.09,108.21,107.09,103.51,98.00,95.51,83.80,94.68,96.68,94.36,93.56,99.40,100.90,111.56,104.09,104.93,104.39,101.91,94.35,97.53,97.28,99.14,96.43,97.07,102.80,107.99,101.08,105.78,102.78,110.51,100.70,100.82,101.42,104.28,100.54,109.54,108.55,117.01,109.26,109.03,108.86,108.67,98.21,97.48,95.96,98.98,95.81,108.14,104.95,101.29,105.39,107.62,97.47,119.93,92.29,96.69,96.74,99.90,94.21,105.95,100.67,104.42,104.49,106.29,100.06,99.67,97.82,99.75,105.43,99.88,101.65,110.74,106.15,108.34,104.82,104.82,102.46,99.80,103.20,107.65,110.20,108.07,106.04,108.59,106.19,110.56,105.23,108.43,106.11,99.76,97.14,102.05,101.31,105.47,102.54,104.79,109.57,106.84,102.46,104.90,103.61,104.06,105.30,104.20,75.92,91.52,90.53,102.45,102.95,102.62,104.94,104.57,102.28,103.49,100.71,113.28
2,A01,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIO CONEXAS.",115.88,129.02,125.60,122.75,113.01,96.96,112.52,107.84,103.71,98.95,102.29,110.06,105.84,89.83,86.86,88.70,93.95,86.65,88.97,88.02,91.16,89.36,95.46,97.02,107.50,100.26,97.07,95.43,88.91,95.17,97.57,98.35,100.29,95.44,102.85,97.88,104.42,104.36,106.59,102.97,105.13,97.72,102.87,104.11,91.99,93.03,107.03,103.56,113.53,109.00,102.31,97.83,105.00,87.61,112.82,125.44,122.78,120.24,179.23,152.88,159.15,156.14,149.17,136.44,127.33,114.93,119.45,110.11,112.08,106.02,95.28,89.51,77.14,84.39,84.80,84.42,100.03,103.72,103.66,100.90,105.28,102.24,95.96,80.74,105.90,111.63,115.71,104.58,96.97,97.61,100.64,94.46,102.27,100.69,95.36,106.60,104.22,109.32,108.56,108.63,103.48,106.23,103.18,108.52,107.29,103.57,97.83,95.28,83.58,94.47,96.61,94.20,93.49,99.46,100.97,111.84,104.15,105.12,104.41,101.83,94.18,97.32,97.20,98.92,96.26,97.05,102.92,108.24,101.26,106.06,102.89,110.56,100.60,100.69,101.42,104.17,100.52,109.51,108.54,117.19,109.39,109.19,108.91,108.68,98.27,97.46,96.11,99.05,95.95,108.36,105.21,101.56,105.62,107.84,97.48,119.81,92.18,96.53,96.73,99.83,94.21,106.04,100.79,104.64,104.65,106.48,100.12,99.59,97.75,99.60,105.43,99.82,101.62,110.78,106.25,108.49,104.98,104.95,102.49,99.71,103.08,107.53,110.21,108.03,106.06,108.63,106.28,110.66,105.35,108.58,106.19,99.71,97.04,101.96,101.32,105.43,101.96,104.88,109.71,107.00,102.61,105.09,103.72,104.06,105.25,104.16,75.95,91.52,90.63,102.50,103.06,102.73,105.03,104.68,102.32,103.41,100.63,113.19
3,A011,CULTIVOS EN GENERAL; CULTIVOS DE PRODUCTOS DE MERCADO; HORTICULTURA.,117.22,131.53,128.50,125.72,115.63,100.96,114.13,109.57,104.82,101.40,101.00,109.58,105.60,86.98,83.57,86.96,92.07,86.56,86.99,86.24,90.14,89.50,93.26,96.14,109.30,101.41,97.20,95.75,88.57,97.00,97.94,99.73,102.44,96.94,101.59,96.63,103.30,104.24,103.32,102.92,103.84,97.16,100.29,100.63,89.08,91.59,102.89,102.38,114.20,110.54,101.65,98.25,106.69,87.65,107.94,122.88,122.71,121.43,147.08,113.68,128.55,139.68,133.74,117.40,110.64,100.21,106.31,104.66,105.18,102.73,98.75,88.73,68.85,86.44,83.76,84.54,109.12,108.84,113.27,104.34,111.16,104.70,102.26,103.77,112.52,110.17,108.00,97.96,88.94,89.37,86.92,91.06,94.22,94.62,92.70,100.58,113.05,124.04,124.84,120.50,109.58,114.07,107.05,107.50,108.86,105.67,101.97,94.92,83.88,101.07,109.67,102.24,99.38,108.78,105.67,113.71,107.25,106.31,108.56,94.84,93.09,103.50,111.93,108.68,102.09,100.25,113.57,111.82,107.83,113.67,108.45,111.54,101.32,106.43,110.68,112.99,104.32,112.69,115.77,118.33,114.70,111.41,113.94,103.89,95.83,99.20,98.98,104.09,96.18,110.83,107.99,100.77,112.31,115.75,106.00,136.84,94.56,92.44,97.80,103.63,96.80,113.31,106.19,109.33,112.18,114.08,103.63,96.80,96.79,98.70,106.53,101.35,102.82,114.15,109.63,111.51,109.99,109.65,107.06,98.57,106.42,112.27,118.20,116.39,110.12,111.60,107.26,115.51,111.31,111.32,111.75,100.82,99.34,102.12,105.39,113.75,105.68,111.44,113.87,111.46,111.06,110.52,107.56,109.59,99.20,105.29,94.50,93.84,95.00,103.36,105.01,105.56,109.61,105.45,104.36,107.28,102.70,111.58
3,A012,CRÍA DE ANIMALES DOMÉSTICOS.,101.34,104.77,101.23,98.37,90.72,68.02,98.02,93.07,97.92,88.17,108.45,108.32,108.69,117.50,113.81,102.21,112.96,85.58,103.41,103.67,100.60,89.21,117.44,107.01,92.42,85.67,94.16,90.08,89.11,79.62,94.75,86.23,84.75,86.94,114.06,114.47,114.64,106.05,136.87,106.08,115.88,103.80,120.65,123.75,110.10,103.00,146.45,119.94,110.85,98.15,106.82,96.05,93.58,84.32,131.22,124.60,114.83,114.27,280.19,261.70,233.21,206.53,175.11,170.28,151.31,133.66,124.44,116.07,111.48,105.80,79.32,80.66,79.33,80.57,83.09,80.50,86.96,92.94,87.60,92.27,89.80,92.14,80.64,38.45,95.44,100.11,101.03,100.37,97.00,100.38,106.13,101.12,101.41,98.95,90.37,113.51,90.03,96.66,96.48,101.01,98.16,103.68,102.56,110.70,109.74,101.87,96.24,111.72,94.45,102.24,94.69,93.85,92.99,93.73,96.56,101.68,95.81,101.81,94.55,108.25,93.25,94.65,82.66,92.76,91.91,91.51,91.37,93.54,91.65,97.67,91.67,106.21,97.65,93.72,94.29,95.20,97.91,101.22,106.33,103.88,102.13,105.05,98.84,110.87,98.28,93.25,94.12,94.36,94.42,104.86,105.03,100.19,102.25,100.31,88.94,100.56,86.35,99.95,95.80,96.66,87.42,95.77,96.92,102.56,98.25,95.40,95.39,99.90,93.16,95.54,102.37,98.69,98.06,105.23,102.22,109.40,101.57,99.04,97.98,97.54,95.77,99.59,100.23,99.07,100.81,105.34,104.78,109.02,100.45,104.80,99.48,94.87,90.18,98.92,97.21,96.19,95.90,96.91,109.63,106.41,97.97,99.53,98.18,95.38,112.04,99.12,46.87,86.44,79.84,98.19,101.87,98.47,101.07,104.08,98.09,98.85,92.35,110.16
3,A014,"ACTIVIDADES AGRÍCOLAS Y GANADERAS DE TIPO SERVICIO, EXCEPTO LAS ACTIVIDADES VETERINARIAS.",145.35,133.26,125.89,121.29,113.75,116.27,119.85,114.56,112.59,70.55,99.93,91.87,96.20,95.90,105.16,96.66,86.96,100.37,104.58,90.72,93.93,94.00,97.70,89.90,97.30,105.17,99.01,99.59,99.22,99.27,97.06,104.30,105.21,82.57,100.47,78.31,101.68,91.24,100.35,87.64,105.63,90.69,115.18,138.50,102.26,94.16,86.99,88.16,107.37,108.81,98.63,95.07,103.08,102.53,150.99,187.78,156.90,107.97,250.48,241.90,243.58,209.79,175.29,172.11,160.45,140.93,135.42,101.79,118.06,107.38,88.81,73.81,78.05,85.14,69.15,78.03,81.51,91.80,82.74,93.61,103.98,110.91,95.08,97.84,87.00,136.62,148.61,122.40,116.02,110.39,109.74,87.77,112.88,114.31,102.38,103.83,100.52,89.89,78.19,83.42,89.50,83.44,80.35,103.34,86.60,93.60,81.80,55.28,56.64,57.67,55.29,65.71,69.33,74.21,85.04,130.62,108.32,100.30,110.51,94.25,101.13,80.12,85.83,78.31,82.74,100.00,94.33,143.64,102.14,94.40,112.25,115.78,104.64,96.00,85.60,96.70,89.17,124.97,80.94,156.92,109.39,108.46,117.29,119.03,110.33,105.30,92.39,95.38,99.08,107.68,89.68,105.55,86.44,94.16,85.40,113.36,98.92,108.73,96.10,95.78,105.37,109.08,87.92,89.20,92.79,106.10,95.83,111.80,118.14,117.51,111.72,99.37,106.90,114.41,103.55,90.15,94.47,101.31,93.82,113.86,110.32,106.91,109.23,101.59,103.73,106.77,106.32,94.73,97.78,107.16,101.72,116.15,106.79,107.93,97.74,98.59,104.26,103.57,91.37,89.40,82.90,96.02,103.05,113.38,113.89,108.28,84.17,100.29,106.52,117.15,101.59,107.67,102.78,103.26,107.16,106.32,111.26,123.89
2,A02,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE TIPO SERVICIO CONEXAS.",93.45,153.42,117.87,133.84,150.76,92.45,102.04,55.28,60.24,71.70,92.81,101.15,93.01,122.12,134.93,121.35,132.08,110.83,112.18,71.71,70.69,81.04,105.55,98.49,98.80,97.79,108.99,104.44,108.77,106.40,123.69,89.17,91.87,85.38,99.05,65.42,51.58,77.06,237.77,169.67,194.81,181.75,142.62,130.58,134.59,132.81,146.27,163.43,123.03,137.57,89.57,69.23,83.72,84.48,108.37,91.54,87.54,96.11,29.11,30.15,39.68,31.14,34.32,49.47,45.28,42.79,49.38,53.90,61.84,83.56,163.32,102.57,112.16,116.39,119.65,100.36,126.59,87.15,101.42,79.31,125.18,106.99,124.84,136.63,161.90,119.61,86.68,87.70,87.45,74.37,104.04,87.56,76.79,89.72,99.56,104.05,127.92,121.50,91.41,131.63,96.83,101.83,95.49,94.99,102.34,121.69,140.47,129.91,102.99,87.82,83.97,98.38,82.98,83.67,92.92,91.51,115.14,94.66,105.33,101.41,103.03,100.99,90.37,120.23,109.75,96.39,85.75,87.45,88.94,77.15,85.02,80.56,96.90,89.17,83.41,106.54,91.97,115.48,117.23,104.28,105.04,96.23,103.82,89.51,54.91,64.56,51.52,63.59,53.92,61.92,59.16,65.40,75.45,79.11,105.57,123.46,84.25,95.42,81.12,99.04,79.46,79.47,79.23,66.24,85.97,75.37,90.20,93.93,67.73,106.19,87.52,100.95,99.13,104.94,94.30,94.29,78.19,92.01,110.14,111.86,104.94,105.63,92.86,101.83,86.03,104.68,96.38,110.22,94.31,89.61,88.42,96.67,92.87,95.29,85.63,103.54,374.89,78.98,81.76,78.72,73.80,64.10,75.08,78.05,85.74,83.63,59.77,79.79,60.35,94.21,82.76,84.61,94.02,91.21,107.66,124.09,94.32,110.06
3,A020,"SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE TIPO SERVICIO CONEXAS.",93.45,153.42,117.87,133.84,150.76,92.45,102.04,55.28,60.24,71.70,92.81,101.15,93.01,122.12,134.93,121.35,132.08,110.83,112.18,71.71,70.69,81.04,105.55,98.49,98.80,97.79,108.99,104.44,108.77,106.40,123.69,89.17,91.87,85.38,99.05,65.42,51.58,77.06,237.77,169.67,194.81,181.75,142.62,130.58,134.59,132.81,146.27,163.43,123.03,137.57,89.57,69.23,83.72,84.48,108.37,91.54,87.54,96.11,29.11,30.15,39.68,31.14,34.32,49.47,45.28,42.79,49.38,53.90,61.84,83.56,163.32,102.57,112.16,116.39,119.65,100.36,126.59,87.15,101.42,79.31,125.18,106.99,124.84,136.63,161.90,119.61,86.68,87.70,87.45,74.37,104.04,87.56,76.79,89.72,99.56,104.05,127.92,121.50,91.41,131.63,96.83,101.83,95.49,94.99,102.34,121.69,140.47,129.91,102.99,87.82,83.97,98.38,82.98,83.67,92.92,91.51,115.14,94.66,105.33,101.41,103.03,100.99,90.37,120.23,109.75,96.39,85.75,87.45,88.94,77.15,85.02,80.56,96.90,89.17,83.41,106.54,91.97,115.48,117.23,104.28,105.04,96.23,103.82,89.51,54.91,64.56,51.52,63.59,53.92,61.92,59.16,65.40,75.45,79.11,105.57,123.46,84.25,95.42,81.12,99.04,79.46,79.47,79.23,66.24,85.97,75.37,90.20,93.93,67.73,106.19,87.52,100.95,99.13,104.94,94.30,94.29,78.19,92.01,110.14,111.86,104.94,105.63,92.86,101.83,86.03,104.68,96.38,110.22,94.31,89.61,88.42,96.67,92.87,95.29,85.63,103.54,374.89,78.98,81.76,78.72,73.80,64.10,75.08,78.05,85.74,83.63,59.77,79.79,60.35,94.21,82.76,84.61,94.02,91.21,107.66,124.09,94.32,110.06
